"link","name","date","place","last_updated","cards_id"
"http://ufcstats.com/event-details/b26d3e3746fb4024","UFC 247: Jones vs. Reyes","February 08, 2020","Houston, Texas, USA","2020-02-12 06:58:12.430593","b26d3e3746fb4024"
"http://ufcstats.com/event-details/44aa652b181bcf68","UFC Fight Night: Blaydes vs. Dos Santos","January 25, 2020","Raleigh, North Carolina, USA","2020-02-12 06:58:12.430593","44aa652b181bcf68"
"http://ufcstats.com/event-details/0c1773639c795466","UFC 246: McGregor vs. Cowboy","January 18, 2020","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","0c1773639c795466"
"http://ufcstats.com/event-details/74fefd43f073cd2f","UFC Fight Night: Edgar vs. The Korean Zombie","December 21, 2019","Busan, South Korea","2020-02-12 06:58:12.430593","74fefd43f073cd2f"
"http://ufcstats.com/event-details/4565d435005319c0","UFC 245: Usman vs. Covington","December 14, 2019","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","4565d435005319c0"
"http://ufcstats.com/event-details/b09890ba7ce1d1e2","UFC Fight Night: Overeem vs. Rozenstruik","December 07, 2019","Washington, DC, USA","2020-02-12 06:58:12.430593","b09890ba7ce1d1e2"
"http://ufcstats.com/event-details/81ca2c245b19b3c5","UFC Fight Night: Blachowicz vs. Jacare","November 16, 2019","Sao Paulo, Sao Paulo, Brazil","2020-02-12 06:58:12.430593","81ca2c245b19b3c5"
"http://ufcstats.com/event-details/8d5daf67983b65ba","UFC Fight Night: Zabit vs. Kattar","November 09, 2019","Moscow, Moscow, Russia","2020-02-12 06:58:12.430593","8d5daf67983b65ba"
"http://ufcstats.com/event-details/fd87b1bbfcde9d5e","UFC 244: Masvidal vs. Diaz","November 02, 2019","New York City, New York, USA","2020-02-12 06:58:12.430593","fd87b1bbfcde9d5e"
"http://ufcstats.com/event-details/df05aa15b2d66f57","UFC Fight Night: Maia vs. Askren","October 26, 2019","Kallang, Singapore","2020-02-12 06:58:12.430593","df05aa15b2d66f57"
"http://ufcstats.com/event-details/3ae10ac4df3df05c","UFC Fight Night: Reyes vs. Weidman","October 18, 2019","Boston, Massachusetts, USA","2020-02-12 06:58:12.430593","3ae10ac4df3df05c"
"http://ufcstats.com/event-details/0941df56f6ac954b","UFC Fight Night: Joanna vs. Waterson","October 12, 2019","Tampa, Florida, USA","2020-02-12 06:58:12.430593","0941df56f6ac954b"
"http://ufcstats.com/event-details/3cf68c1d17f66af7","UFC 243: Whittaker vs. Adesanya","October 05, 2019","Melbourne, Victoria, Australia","2020-02-12 06:58:12.430593","3cf68c1d17f66af7"
"http://ufcstats.com/event-details/1bf49bf829964144","UFC Fight Night: Hermansson vs. Cannonier","September 28, 2019","Copenhagen, Denmark","2020-02-12 06:58:12.430593","1bf49bf829964144"
"http://ufcstats.com/event-details/94a5aaf573f780ad","UFC Fight Night: Rodriguez vs. Stephens","September 21, 2019","Mexico City, Distrito Federal, Mexico","2020-02-12 06:58:12.430593","94a5aaf573f780ad"
"http://ufcstats.com/event-details/4834ff149dc9542a","UFC Fight Night: Cowboy vs. Gaethje","September 14, 2019","Vancouver, British Columbia, Canada","2020-02-12 06:58:12.430593","4834ff149dc9542a"
"http://ufcstats.com/event-details/a79bfbc01b2264d6","UFC 242: Khabib vs. Poirier","September 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates","2020-02-12 06:58:12.430593","a79bfbc01b2264d6"
"http://ufcstats.com/event-details/2c104b7e59a72629","UFC Fight Night: Andrade vs. Zhang","August 31, 2019","Shenzhen, Guangdong, China","2020-02-12 06:58:12.430593","2c104b7e59a72629"
"http://ufcstats.com/event-details/70167689d6a01793","UFC 241: Cormier vs. Miocic 2","August 17, 2019","Anaheim, California, USA","2020-02-12 06:58:12.430593","70167689d6a01793"
"http://ufcstats.com/event-details/e5d03e4d966126bd","UFC Fight Night: Shevchenko vs. Carmouche 2","August 10, 2019","Montevideo, Uruguay","2020-02-12 06:58:12.430593","e5d03e4d966126bd"
"http://ufcstats.com/event-details/03da33a102d9a45f","UFC Fight Night: Covington vs. Lawler","August 03, 2019","Newark, New Jersey, USA","2020-02-12 06:58:12.430593","03da33a102d9a45f"
"http://ufcstats.com/event-details/abcf7e55a0a9ed89","UFC 240: Holloway vs. Edgar","July 27, 2019","Edmonton, Alberta, Canada","2020-02-12 06:58:12.430593","abcf7e55a0a9ed89"
"http://ufcstats.com/event-details/9e0f28d1f639ad73","UFC Fight Night: Dos Anjos vs. Edwards","July 20, 2019","San Antonio, Texas, USA","2020-02-12 06:58:12.430593","9e0f28d1f639ad73"
"http://ufcstats.com/event-details/2f8f3c69522db931","UFC Fight Night: De Randamie vs. Ladd","July 13, 2019","Sacramento, California, USA","2020-02-12 06:58:12.430593","2f8f3c69522db931"
"http://ufcstats.com/event-details/6c9383ffab2725a5","UFC 239: Jones vs. Santos","July 06, 2019","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","6c9383ffab2725a5"
"http://ufcstats.com/event-details/c0c1bc0766df4c00","UFC Fight Night: Ngannou vs. Dos Santos","June 29, 2019","Minneapolis, Minnesota, USA","2020-02-12 06:58:12.430593","c0c1bc0766df4c00"
"http://ufcstats.com/event-details/b16a7e6a627e9789","UFC Fight Night: Moicano vs. The Korean Zombie","June 22, 2019","Greenville, South Carolina, USA","2020-02-12 06:58:12.430593","b16a7e6a627e9789"
"http://ufcstats.com/event-details/e31502e3f79d00c5","UFC 238: Cejudo vs. Moraes","June 08, 2019","Chicago, Illinois, USA","2020-02-12 06:58:12.430593","e31502e3f79d00c5"
"http://ufcstats.com/event-details/cbc071cb20ea59c7","UFC Fight Night: Gustafsson vs. Smith","June 01, 2019","Stockholm, Sweden","2020-02-12 06:58:12.430593","cbc071cb20ea59c7"
"http://ufcstats.com/event-details/6b8f28da9a483049","UFC Fight Night: Dos Anjos vs. Lee","May 18, 2019","Rochester, New York, USA","2020-02-12 06:58:12.430593","6b8f28da9a483049"
"http://ufcstats.com/event-details/9de7c97e1c0d7927","UFC 237: Namajunas vs. Andrade","May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil","2020-02-12 06:58:12.430593","9de7c97e1c0d7927"
"http://ufcstats.com/event-details/351264d11286d09a","UFC Fight Night: Iaquinta vs. Cowboy","May 04, 2019","Ottawa, Ontario, Canada","2020-02-12 06:58:12.430593","351264d11286d09a"
"http://ufcstats.com/event-details/c912f676692c353a","UFC Fight Night: Jacare vs. Hermansson","April 27, 2019","Sunrise, Florida, USA","2020-02-12 06:58:12.430593","c912f676692c353a"
"http://ufcstats.com/event-details/7dcf06c1967801c1","UFC Fight Night: Overeem vs. Oleinik","April 20, 2019","Saint Petersburg, Saint Petersburg, Russia","2020-02-12 06:58:12.430593","7dcf06c1967801c1"
"http://ufcstats.com/event-details/b0550072e5f0afa7","UFC 236: Holloway vs. Poirier 2","April 13, 2019","Atlanta, Georgia, USA","2020-02-12 06:58:12.430593","b0550072e5f0afa7"
"http://ufcstats.com/event-details/9649d75defe0dedb","UFC Fight Night: Barboza vs. Gaethje","March 30, 2019","Philadelphia, Pennsylvania, USA","2020-02-12 06:58:12.430593","9649d75defe0dedb"
"http://ufcstats.com/event-details/487c170da059857d","UFC Fight Night: Thompson vs. Pettis","March 23, 2019","Nashville, Tennessee, USA","2020-02-12 06:58:12.430593","487c170da059857d"
"http://ufcstats.com/event-details/80eacd4da0617c57","UFC Fight Night: Till vs. Masvidal","March 16, 2019","London, England, United Kingdom","2020-02-12 06:58:12.430593","80eacd4da0617c57"
"http://ufcstats.com/event-details/e96d8538d3f9d0ed","UFC Fight Night: Lewis vs. Dos Santos","March 09, 2019","Wichita, Kansas, USA","2020-02-12 06:58:12.430593","e96d8538d3f9d0ed"
"http://ufcstats.com/event-details/2d5fbe2103f97053","UFC 235: Jones vs. Smith","March 02, 2019","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","2d5fbe2103f97053"
"http://ufcstats.com/event-details/6546af7ab545b90c","UFC Fight Night: Blachowicz vs. Santos","February 23, 2019","Prague, Czech Republic","2020-02-12 06:58:12.430593","6546af7ab545b90c"
"http://ufcstats.com/event-details/a7a79b8efbceaaac","UFC Fight Night: Ngannou vs. Velasquez","February 17, 2019","Phoenix, Arizona, USA","2020-02-12 06:58:12.430593","a7a79b8efbceaaac"
"http://ufcstats.com/event-details/b5882371e2a3900d","UFC 234: Adesanya vs. Silva","February 09, 2019","Melbourne, Victoria, Australia","2020-02-12 06:58:12.430593","b5882371e2a3900d"
"http://ufcstats.com/event-details/84283233ec42be5f","UFC Fight Night: Assuncao vs. Moraes 2","February 02, 2019","Fortaleza, Ceara, Brazil","2020-02-12 06:58:12.430593","84283233ec42be5f"
"http://ufcstats.com/event-details/d4da8995fc91e7ef","UFC Fight Night: Cejudo vs. Dillashaw","January 19, 2019","Brooklyn, New York, USA","2020-02-12 06:58:12.430593","d4da8995fc91e7ef"
"http://ufcstats.com/event-details/c046100aea0dba9a","UFC 232: Jones vs. Gustafsson 2","December 29, 2018","Los Angeles, California, USA","2020-02-12 06:58:12.430593","c046100aea0dba9a"
"http://ufcstats.com/event-details/7a703c565ccaa18f","UFC Fight Night: Lee vs. Iaquinta","December 15, 2018","Milwaukee, Wisconsin, USA","2020-02-12 06:58:12.430593","7a703c565ccaa18f"
"http://ufcstats.com/event-details/2a74bbba57058f12","UFC 231: Holloway vs. Ortega","December 08, 2018","Toronto, Ontario, Canada","2020-02-12 06:58:12.430593","2a74bbba57058f12"
"http://ufcstats.com/event-details/d1d20e651e6cbc02","UFC Fight Night: Dos Santos vs. Tuivasa","December 01, 2018","Adelaide, South Australia, Australia","2020-02-12 06:58:12.430593","d1d20e651e6cbc02"
"http://ufcstats.com/event-details/c7ac79839e86ce33","UFC - TUF 28 Finale","November 30, 2018","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","c7ac79839e86ce33"
"http://ufcstats.com/event-details/de25520d54eab12d","UFC Fight Night: Blaydes vs. Ngannou 2","November 24, 2018","Beijing, China","2020-02-12 06:58:12.430593","de25520d54eab12d"
"http://ufcstats.com/event-details/aa3153a9941b4d44","UFC Fight Night: Magny vs. Ponzinibbio","November 17, 2018","Buenos Aires, Buenos Aires, Argentina","2020-02-12 06:58:12.430593","aa3153a9941b4d44"
"http://ufcstats.com/event-details/42c96a9c4802e2e1","UFC Fight Night: Korean Zombie vs. Rodriguez","November 10, 2018","Denver, Colorado, USA","2020-02-12 06:58:12.430593","42c96a9c4802e2e1"
"http://ufcstats.com/event-details/20821819c401ced8","UFC 230: Cormier vs. Lewis","November 03, 2018","New York City, New York, USA","2020-02-12 06:58:12.430593","20821819c401ced8"
"http://ufcstats.com/event-details/33a331684283900f","UFC Fight Night: Oezdemir vs. Smith","October 27, 2018","Moncton, New Brunswick, Canada","2020-02-12 06:58:12.430593","33a331684283900f"
"http://ufcstats.com/event-details/1ef0eae31904e534","UFC 229: Khabib vs. McGregor","October 06, 2018","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","1ef0eae31904e534"
"http://ufcstats.com/event-details/852454c572675334","UFC Fight Night: Marreta vs. Anders","September 22, 2018","Sao Paulo, Sao Paulo, Brazil","2020-02-12 06:58:12.430593","852454c572675334"
"http://ufcstats.com/event-details/8d49545dadf9b919","UFC Fight Night: Hunt vs. Oleinik","September 15, 2018","Moscow, Moscow, Russia","2020-02-12 06:58:12.430593","8d49545dadf9b919"
"http://ufcstats.com/event-details/d5ae8074631762fc","UFC 228: Woodley vs. Till","September 08, 2018","Dallas, Texas, USA","2020-02-12 06:58:12.430593","d5ae8074631762fc"
"http://ufcstats.com/event-details/c0342805a1948cbb","UFC Fight Night: Gaethje vs. Vick","August 25, 2018","Lincoln, Nebraska, USA","2020-02-12 06:58:12.430593","c0342805a1948cbb"
"http://ufcstats.com/event-details/03b1e846b09f721d","UFC 227: Dillashaw vs. Garbrandt 2","August 04, 2018","Los Angeles, California, USA","2020-02-12 06:58:12.430593","03b1e846b09f721d"
"http://ufcstats.com/event-details/322a56923b396b4d","UFC Fight Night: Alvarez vs. Poirier 2","July 28, 2018","Calgary, Alberta, Canada","2020-02-12 06:58:12.430593","322a56923b396b4d"
"http://ufcstats.com/event-details/4f732e58ed907eff","UFC Fight Night: Shogun vs. Smith","July 22, 2018","Hamburg, Hamburg, Germany","2020-02-12 06:58:12.430593","4f732e58ed907eff"
"http://ufcstats.com/event-details/b45d6b73f4ca4467","UFC Fight Night: Dos Santos vs. Ivanov","July 14, 2018","Boise, Idaho, USA","2020-02-12 06:58:12.430593","b45d6b73f4ca4467"
"http://ufcstats.com/event-details/35585d970300d45a","UFC 226: Miocic vs. Cormier","July 07, 2018","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","35585d970300d45a"
"http://ufcstats.com/event-details/8215e4fe24e8e81b","UFC - TUF 27 Finale","July 06, 2018","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","8215e4fe24e8e81b"
"http://ufcstats.com/event-details/ac5f67109accb482","UFC Fight Night: Cowboy vs. Edwards","June 23, 2018","Kallang, Singapore","2020-02-12 06:58:12.430593","ac5f67109accb482"
"http://ufcstats.com/event-details/2eae41f61776c60f","UFC 225: Whittaker vs. Romero 2","June 09, 2018","Chicago, Illinois, USA","2020-02-12 06:58:12.430593","2eae41f61776c60f"
"http://ufcstats.com/event-details/d29b5c4f22c6357d","UFC Fight Night: Rivera vs. Moraes","June 01, 2018","Utica, New York, USA","2020-02-12 06:58:12.430593","d29b5c4f22c6357d"
"http://ufcstats.com/event-details/f5990c11974d8e9c","UFC Fight Night: Thompson vs. Till","May 27, 2018","Liverpool, England, United Kingdom","2020-02-12 06:58:12.430593","f5990c11974d8e9c"
"http://ufcstats.com/event-details/3144121470023e9a","UFC Fight Night: Maia vs. Usman","May 19, 2018","Santiago, Chile","2020-02-12 06:58:12.430593","3144121470023e9a"
"http://ufcstats.com/event-details/67ec58d7cf599835","UFC 224: Nunes vs. Pennington","May 12, 2018","Rio de Janeiro, Rio de Janeiro, Brazil","2020-02-12 06:58:12.430593","67ec58d7cf599835"
"http://ufcstats.com/event-details/ad99fa5325519169","UFC Fight Night: Barboza vs. Lee","April 21, 2018","Atlantic City, New Jersey, USA","2020-02-12 06:58:12.430593","ad99fa5325519169"
"http://ufcstats.com/event-details/620be7e0712d431b","UFC Fight Night: Poirier vs. Gaethje","April 14, 2018","Glendale, Arizona, USA","2020-02-12 06:58:12.430593","620be7e0712d431b"
"http://ufcstats.com/event-details/49e7e05f902479ca","UFC 223: Khabib vs. Iaquinta","April 07, 2018","Brooklyn, New York, USA","2020-02-12 06:58:12.430593","49e7e05f902479ca"
"http://ufcstats.com/event-details/eed2b71d77d95416","UFC Fight Night: Werdum vs. Volkov","March 17, 2018","London, England, United Kingdom","2020-02-12 06:58:12.430593","eed2b71d77d95416"
"http://ufcstats.com/event-details/7929be8290289a47","UFC 222: Cyborg vs. Kunitskaya","March 03, 2018","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","7929be8290289a47"
"http://ufcstats.com/event-details/daa89f01e1c0f42a","UFC Fight Night: Emmett vs. Stephens","February 24, 2018","Orlando, Florida, USA","2020-02-12 06:58:12.430593","daa89f01e1c0f42a"
"http://ufcstats.com/event-details/d181689653115b6a","UFC Fight Night: Cerrone vs. Medeiros","February 18, 2018","Austin, Texas, USA","2020-02-12 06:58:12.430593","d181689653115b6a"
"http://ufcstats.com/event-details/15515e797aedc137","UFC 221: Romero vs. Rockhold","February 10, 2018","Perth, Western Australia, Australia","2020-02-12 06:58:12.430593","15515e797aedc137"
"http://ufcstats.com/event-details/7cf20446453f852b","UFC Fight Night: Machida vs. Anders","February 03, 2018","Belem, Para, Brazil","2020-02-12 06:58:12.430593","7cf20446453f852b"
"http://ufcstats.com/event-details/602bb270f2bdbf02","UFC Fight Night: Jacare vs. Brunson 2","January 27, 2018","Charlotte, North Carolina, USA","2020-02-12 06:58:12.430593","602bb270f2bdbf02"
"http://ufcstats.com/event-details/02177caefe7c07d4","UFC 220: Miocic vs. Ngannou","January 20, 2018","Boston, Massachusetts, USA","2020-02-12 06:58:12.430593","02177caefe7c07d4"
"http://ufcstats.com/event-details/fc1868f56d3036eb","UFC Fight Night: Stephens vs. Choi","January 14, 2018","St. Louis, Missouri, USA","2020-02-12 06:58:12.430593","fc1868f56d3036eb"
"http://ufcstats.com/event-details/04076783ca83d6ae","UFC 219: Cyborg vs. Holm","December 30, 2017","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","04076783ca83d6ae"
"http://ufcstats.com/event-details/eaa0a728cc91ef60","UFC Fight Night: Lawler vs. Dos Anjos","December 16, 2017","Winnipeg, Manitoba, Canada","2020-02-12 06:58:12.430593","eaa0a728cc91ef60"
"http://ufcstats.com/event-details/bcd124bcd3d5be46","UFC Fight Night: Swanson vs. Ortega","December 09, 2017","Fresno, California, USA","2020-02-12 06:58:12.430593","bcd124bcd3d5be46"
"http://ufcstats.com/event-details/9e30f69cc0869301","UFC 218: Holloway vs. Aldo 2","December 02, 2017","Detroit, Michigan, USA","2020-02-12 06:58:12.430593","9e30f69cc0869301"
"http://ufcstats.com/event-details/30e8b4505f5ccf92","The Ultimate Fighter 26 Finale","December 01, 2017","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","30e8b4505f5ccf92"
"http://ufcstats.com/event-details/e7bc606d269896aa","UFC Fight Night: Bisping vs. Gastelum","November 25, 2017","Shanghai, Hebei, China","2020-02-12 06:58:12.430593","e7bc606d269896aa"
"http://ufcstats.com/event-details/caced97768818230","UFC Fight Night: Werdum vs. Tybura","November 18, 2017","Sydney, New South Wales, Australia","2020-02-12 06:58:12.430593","caced97768818230"
"http://ufcstats.com/event-details/d856a0080ac09ed7","UFC Fight Night: Poirier vs. Pettis","November 11, 2017","Norfolk, Virginia, USA","2020-02-12 06:58:12.430593","d856a0080ac09ed7"
"http://ufcstats.com/event-details/a25b71fe5e31fa97","UFC 217: Bisping vs. St-Pierre","November 04, 2017","New York City, New York, USA","2020-02-12 06:58:12.430593","a25b71fe5e31fa97"
"http://ufcstats.com/event-details/a7724f51e32e763e","UFC Fight Night: Brunson vs. Machida","October 28, 2017","Sao Paulo, Sao Paulo, Brazil","2020-02-12 06:58:12.430593","a7724f51e32e763e"
"http://ufcstats.com/event-details/d6b68eaf4b68b160","UFC Fight Night: Cerrone vs. Till","October 21, 2017","Gdansk, Poland","2020-02-12 06:58:12.430593","d6b68eaf4b68b160"
"http://ufcstats.com/event-details/cc5834a495d1ea08","UFC 216: Ferguson vs. Lee","October 07, 2017","Las Vegas, Nevada, USA","2020-02-12 06:58:12.430593","cc5834a495d1ea08"
"http://ufcstats.com/event-details/9211aae062b799d6","UFC Fight Night: Saint Preux vs. Okami","September 22, 2017","Saitama, Saitama, Japan","2020-02-12 06:58:12.430593","9211aae062b799d6"
"http://ufcstats.com/event-details/1979c80150f630c4","UFC Fight Night: Rockhold vs. Branch","September 16, 2017","Pittsburgh, Pennsylvania, USA","2020-02-12 06:58:12.430593","1979c80150f630c4"
"http://ufcstats.com/event-details/d86e913c548c07c2","UFC 215: Nunes vs Shevchenko 2","September 09, 2017","Edmonton, Alberta, Canada","2020-02-12 06:58:12.430593","d86e913c548c07c2"
"http://ufcstats.com/event-details/a3244e3238541482","UFC Fight Night: Volkov vs. Struve","September 02, 2017","Rotterdam, Zuid-Holland, Netherlands","2020-02-12 06:58:12.430593","a3244e3238541482"
